timestamp,junction_id,hour,day_of_week,approach_direction,vehicle_count,congestion_score
2025-10-01 00:00:00,1,0,2,North,21,1.62
2025-10-01 00:00:00,1,0,2,South,26,1.81
2025-10-01 00:00:00,1,0,2,East,30,3.11
2025-10-01 00:00:00,1,0,2,West,25,2.31
2025-10-01 00:15:00,1,0,2,North,14,0.79
2025-10-01 00:15:00,1,0,2,South,33,3.38
2025-10-01 00:15:00,1,0,2,East,38,3.94
2025-10-01 00:15:00,1,0,2,West,18,1.98
2025-10-01 00:30:00,1,0,2,North,36,4.64
2025-10-01 00:30:00,1,0,2,South,33,3.56
2025-10-01 00:30:00,1,0,2,East,26,3.51
2025-10-01 00:30:00,1,0,2,West,17,1.11
2025-10-01 00:45:00,1,0,2,North,15,1.0
2025-10-01 00:45:00,1,0,2,South,11,0.48
2025-10-01 00:45:00,1,0,2,East,28,3.0
2025-10-01 00:45:00,1,0,2,West,24,3.42
2025-10-01 01:00:00,1,1,2,North,44,4.45
2025-10-01 01:00:00,1,1,2,South,31,2.6
2025-10-01 01:00:00,1,1,2,East,24,2.24
2025-10-01 01:00:00,1,1,2,West,47,4.51
2025-10-01 01:15:00,1,1,2,North,35,4.17
2025-10-01 01:15:00,1,1,2,South,34,3.07
2025-10-01 01:15:00,1,1,2,East,24,1.51
2025-10-01 01:15:00,1,1,2,West,31,2.91
2025-10-01 01:30:00,1,1,2,North,28,2.22
2025-10-01 01:30:00,1,1,2,South,22,1.4
2025-10-01 01:30:00,1,1,2,East,32,2.73
2025-10-01 01:30:00,1,1,2,West,46,3.78
2025-10-01 01:45:00,1,1,2,North,35,3.4
2025-10-01 01:45:00,1,1,2,South,42,4.56
2025-10-01 01:45:00,1,1,2,East,26,2.51
2025-10-01 01:45:00,1,1,2,West,39,4.2
2025-10-01 02:00:00,1,2,2,North,46,4.5
2025-10-01 02:00:00,1,2,2,South,59,5.75
2025-10-01 02:00:00,1,2,2,East,30,2.93
2025-10-01 02:00:00,1,2,2,West,54,4.61
2025-10-01 02:15:00,1,2,2,North,31,3.28
2025-10-01 02:15:00,1,2,2,South,50,5.67
2025-10-01 02:15:00,1,2,2,East,39,3.14
2025-10-01 02:15:00,1,2,2,West,58,4.97
2025-10-01 02:30:00,1,2,2,North,41,3.97
2025-10-01 02:30:00,1,2,2,South,53,5.23
2025-10-01 02:30:00,1,2,2,East,47,4.35
2025-10-01 02:30:00,1,2,2,West,52,4.59
2025-10-01 02:45:00,1,2,2,North,43,4.26
2025-10-01 02:45:00,1,2,2,South,56,5.92
2025-10-01 02:45:00,1,2,2,East,52,4.49
2025-10-01 02:45:00,1,2,2,West,37,4.03
2025-10-01 03:00:00,1,3,2,North,49,3.97
2025-10-01 03:00:00,1,3,2,South,52,4.66
2025-10-01 03:00:00,1,3,2,East,69,7.0
2025-10-01 03:00:00,1,3,2,West,64,5.96
2025-10-01 03:15:00,1,3,2,North,53,5.46
2025-10-01 03:15:00,1,3,2,South,63,6.03
2025-10-01 03:15:00,1,3,2,East,65,7.46
2025-10-01 03:15:00,1,3,2,West,42,3.88
2025-10-01 03:30:00,1,3,2,North,43,5.04
2025-10-01 03:30:00,1,3,2,South,47,4.83
2025-10-01 03:30:00,1,3,2,East,61,6.29
2025-10-01 03:30:00,1,3,2,West,63,6.12
2025-10-01 03:45:00,1,3,2,North,48,4.14
2025-10-01 03:45:00,1,3,2,South,61,5.93
2025-10-01 03:45:00,1,3,2,East,45,5.25
2025-10-01 03:45:00,1,3,2,West,40,3.28
2025-10-01 04:00:00,1,4,2,North,76,7.15
2025-10-01 04:00:00,1,4,2,South,55,5.03
2025-10-01 04:00:00,1,4,2,East,72,7.46
2025-10-01 04:00:00,1,4,2,West,56,5.99
2025-10-01 04:15:00,1,4,2,North,58,5.86
2025-10-01 04:15:00,1,4,2,South,77,7.27
2025-10-01 04:15:00,1,4,2,East,76,7.21
